feature,cluster_id,cluster_size,cluster_members,min_similarity_to_cluster,sample_nunique,sample_constant_dev,longitudinal_nunique,longitudinal_constant
ngrams_4_topk_cumfrac,115,1,ngrams_4_topk_cumfrac,1.0,52268,False,194,False
ngrams_4_unique,116,1,ngrams_4_unique,1.0,14,False,2,False
pps_w10_burst_count,117,1,pps_w10_burst_count,1.0,5,False,5,False
pps_w10_max,118,1,pps_w10_max,1.0,9080,False,192,False
pps_w10_min,119,1,pps_w10_min,1.0,4627,False,180,False
pps_w10_std,120,1,pps_w10_std,1.0,21518,False,183,False
pps_w1_min,121,1,pps_w1_min,1.0,22,False,1,True
pps_w2_min,122,1,pps_w2_min,1.0,75,False,5,False
pps_w5_burst_count,123,1,pps_w5_burst_count,1.0,9,False,8,False
sizes_hist_1001_1500,124,1,sizes_hist_1001_1500,1.0,391,False,108,False
sizes_hist_501_1000,125,1,sizes_hist_501_1000,1.0,518,False,123,False
sizes_kurtosis,126,1,sizes_kurtosis,1.0,57916,False,195,False
sizes_max,127,1,sizes_max,1.0,35,False,2,False
sizes_mean,128,1,sizes_mean,1.0,57834,False,195,False
sizes_min,129,1,sizes_min,1.0,2,False,1,True
sizes_p25,130,1,sizes_p25,1.0,11,False,1,True
sizes_p75,131,1,sizes_p75,1.0,272,False,7,False
sizes_p90,132,1,sizes_p90,1.0,192,False,2,False
sizes_skew,133,1,sizes_skew,1.0,57916,False,195,False
sizes_std,134,1,sizes_std,1.0,57916,False,195,False
tam_1s_in_min,135,1,tam_1s_in_min,1.0,12,False,1,True
tam_1s_out_min,136,1,tam_1s_out_min,1.0,14,False,1,True
tam_2s_in_min,137,1,tam_2s_in_min,1.0,39,False,4,False
tam_2s_out_min,138,1,tam_2s_out_min,1.0,43,False,2,False
tam_3s_in_min,139,1,tam_3s_in_min,1.0,80,False,22,False
tam_3s_out_min,140,1,tam_3s_out_min,1.0,69,False,26,False
tam_4s_in_min,141,1,tam_4s_in_min,1.0,140,False,32,False
tam_4s_out_min,142,1,tam_4s_out_min,1.0,163,False,46,False
tam_5s_out_min,143,1,tam_5s_out_min,1.0,711,False,42,False
time_to_first_big_burst,144,1,time_to_first_big_burst,1.0,38689,False,195,False
time_to_first_response,145,1,time_to_first_response,1.0,51194,False,195,False
times_std,146,1,times_std,1.0,57916,False,195,False
transition_m1_to_m1,147,1,transition_m1_to_m1,1.0,2449,False,137,False
transition_p1_to_p1,148,1,transition_p1_to_p1,1.0,4834,False,190,False
