feature,dtype,rows,non_null,missing,missing_rate,inf_count,unique_count,variance,zero_variance
cumul_in_max,float64,72603,72603,0,0.0,0,5944,1596484.9695094388,False
cumul_in_min,float64,72603,72603,0,0.0,0,2,0.006499625994054055,False
cumul_in_std,float64,72603,72603,0,0.0,0,72603,132257.61009142039,False
cumul_in_auc,float64,72603,72603,0,0.0,0,71946,94876104636955.95,False
cumul_in_slope,float64,72603,72603,0,0.0,0,72603,0.009582536431065934,False
cumul_in_slope_norm,float64,72603,72603,0,0.0,0,72603,1.1802842567816604e-06,False
cumul_in_diffs_mean,float64,72603,72603,0,0.0,0,62200,0.008934878856461333,False
cumul_in_diffs_median,float64,72603,72603,0,0.0,0,3,0.04532872857004992,False
cumul_in_diffs_std,float64,72603,72603,0,0.0,0,63236,0.002367069589508763,False
cumul_in_diffs_p25,float64,72603,72603,0,0.0,0,2,0.017598265911744116,False
cumul_in_diffs_p50,float64,72603,72603,0,0.0,0,3,0.04532872857004992,False
cumul_in_diffs_p75,float64,72603,72603,0,0.0,0,1,0.0,True
cumul_in_diffs_p90,float64,72603,72603,0,0.0,0,1,0.0,True
cumul_in_pct_increasing,float64,72603,72603,0,0.0,0,62200,0.008934878856461333,False
cumul_in_skew,float64,72603,72603,0,0.0,0,72603,0.004029378301959829,False
cumul_in_kurtosis,float64,72603,72603,0,0.0,0,72603,0.003291068879793888,False
cumul_out_len,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
cumul_out_last,float64,72603,72603,0,0.0,0,8527,4280817.1422693385,False
cumul_out_mean,float64,72603,72603,0,0.0,0,72534,1076481.7030410692,False
cumul_out_max,float64,72603,72603,0,0.0,0,8527,4280817.1422693385,False
cumul_out_min,float64,72603,72603,0,0.0,0,2,0.006499625994054055,False
cumul_out_std,float64,72603,72603,0,0.0,0,72603,360378.43227815087,False
cumul_out_auc,float64,72603,72603,0,0.0,0,72152,289803390926281.94,False
cumul_out_slope,float64,72603,72603,0,0.0,0,72603,0.009582536431065934,False
cumul_out_slope_norm,float64,72603,72603,0,0.0,0,72603,1.2144125538611442e-06,False
cumul_out_diffs_mean,float64,72603,72603,0,0.0,0,62200,0.008934878856461336,False
cumul_out_diffs_median,float64,72603,72603,0,0.0,0,3,0.04532872857004992,False
cumul_out_diffs_std,float64,72603,72603,0,0.0,0,63216,0.002367069589508763,False
cumul_out_diffs_p25,float64,72603,72603,0,0.0,0,1,0.0,True
cumul_out_diffs_p50,float64,72603,72603,0,0.0,0,3,0.04532872857004992,False
cumul_out_diffs_p75,float64,72603,72603,0,0.0,0,2,0.017598265911744116,False
cumul_out_diffs_p90,float64,72603,72603,0,0.0,0,2,0.015468623828108824,False
cumul_out_pct_increasing,float64,72603,72603,0,0.0,0,62200,0.008934878856461336,False
cumul_out_skew,float64,72603,72602,1,1.3773535528834897e-05,0,72602,0.28973640046387394,False
cumul_out_kurtosis,float64,72603,72602,1,1.3773535528834897e-05,0,72602,37.336576297560704,False
cumul_interp_in_len,int64,72603,72603,0,0.0,0,1,0.0,True
cumul_interp_in_last,float64,72603,72603,0,0.0,0,5944,1596484.9695094388,False
cumul_interp_in_mean,float64,72603,72603,0,0.0,0,72402,390739.1722146249,False
cumul_interp_in_max,float64,72603,72603,0,0.0,0,5944,1596484.9695094388,False
cumul_interp_in_min,float64,72603,72603,0,0.0,0,2,0.006499625994054055,False
cumul_interp_in_std,float64,72603,72603,0,0.0,0,72603,134958.70910437388,False
cumul_interp_in_auc,float64,72603,72603,0,0.0,0,72509,3828924700.2443333,False
cumul_interp_in_slope,float64,72603,72603,0,0.0,0,72597,161.73842856981355,False
cumul_interp_in_slope_norm,float64,72603,72603,0,0.0,0,72596,3.3061648983982275e-08,False
cumul_interp_in_diffs_mean,float64,72603,72603,0,0.0,0,6027,162.88743202476385,False
cumul_interp_in_diffs_median,float64,72603,72603,0,0.0,0,12921,163.01442608253538,False
cumul_interp_in_diffs_std,float64,72603,72603,0,0.0,0,72467,3.665063546378629,False
cumul_interp_in_diffs_p25,float64,72603,72603,0,0.0,0,24292,153.3261069612818,False
cumul_interp_in_diffs_p50,float64,72603,72603,0,0.0,0,12921,163.01442608253538,False
cumul_interp_in_diffs_p75,float64,72603,72603,0,0.0,0,27436,175.49060451609265,False
cumul_interp_in_diffs_p90,float64,72603,72603,0,0.0,0,42396,195.58263452566493,False
cumul_interp_in_pct_increasing,float64,72603,72603,0,0.0,0,30,0.000346036943494558,False
cumul_interp_in_skew,float64,72603,72603,0,0.0,0,72603,0.004074435436094174,False
cumul_interp_in_kurtosis,float64,72603,72603,0,0.0,0,72603,0.0033442782299495113,False
cumul_interp_out_len,int64,72603,72603,0,0.0,0,1,0.0,True
cumul_interp_out_last,float64,72603,72603,0,0.0,0,8527,4280817.1422693385,False
cumul_interp_out_mean,float64,72603,72603,0,0.0,0,72277,1076407.3673351638,False
cumul_interp_out_max,float64,72603,72603,0,0.0,0,8527,4280817.1422693385,False
cumul_interp_out_min,float64,72603,72603,0,0.0,0,2,0.006499625994054055,False
cumul_interp_out_std,float64,72603,72603,0,0.0,0,72497,367517.7596220532,False
cumul_interp_out_auc,float64,72603,72603,0,0.0,0,72385,10550603087.0216,False
cumul_interp_out_slope,float64,72603,72603,0,0.0,0,72502,441.16319422663275,False
cumul_interp_out_slope_norm,float64,72603,72603,0,0.0,0,72498,8.696908450815481e-07,False
cumul_interp_out_diffs_mean,float64,72603,72603,0,0.0,0,9163,436.7728946936762,False
cumul_interp_out_diffs_median,float64,72603,72603,0,0.0,0,19467,437.5517961359163,False
cumul_interp_out_diffs_std,float64,72603,72603,0,0.0,0,72103,3.66506354637863,False
cumul_interp_out_diffs_p25,float64,72603,72603,0,0.0,0,35859,426.20353113236314,False
cumul_interp_out_diffs_p50,float64,72603,72603,0,0.0,0,19467,437.5517961359163,False
cumul_interp_out_diffs_p75,float64,72603,72603,0,0.0,0,34724,452.6417498483566,False
cumul_interp_out_diffs_p90,float64,72603,72603,0,0.0,0,46921,475.19429435394005,False
cumul_interp_out_pct_increasing,float64,72603,72603,0,0.0,0,99,0.014248315718827525,False
cumul_interp_out_skew,float64,72603,72602,1,1.3773535528834897e-05,0,72532,0.23965252773610615,False
cumul_interp_out_kurtosis,float64,72603,72602,1,1.3773535528834897e-05,0,72534,10.63054997257245,False
tam_1s_in_mean,float64,72603,72603,0,0.0,0,26557,4928.751053998443,False
tam_1s_in_max,int64,72603,72603,0,0.0,0,1923,83448.70251974063,False
tam_1s_in_min,int64,72603,72603,0,0.0,0,14,0.194190234612483,False
tam_1s_in_std,float64,72603,72603,0,0.0,0,72053,8159.768934698149,False
tam_1s_out_mean,float64,72603,72603,0,0.0,0,33779,14944.826974164047,False
tam_1s_out_max,int64,72603,72603,0,0.0,0,2929,249337.31729002812,False
tam_1s_out_min,int64,72603,72603,0,0.0,0,15,0.1443977914043675,False
tam_1s_out_std,float64,72603,72603,0,0.0,0,71984,25368.553002321052,False
tam_2s_in_mean,float64,72603,72603,0,0.0,0,19276,18593.14265924046,False
tam_2s_in_max,int64,72603,72603,0,0.0,0,2810,219675.46996428908,False
tam_2s_in_min,int64,72603,72603,0,0.0,0,40,8.585770271307721,False
tam_2s_in_std,float64,72603,72603,0,0.0,0,71459,26951.310714934465,False
tam_2s_out_mean,float64,72603,72603,0,0.0,0,25126,56114.45457061499,False
tam_2s_out_max,int64,72603,72603,0,0.0,0,4279,651173.081593808,False
tam_2s_out_min,int64,72603,72603,0,0.0,0,43,11.528195457638915,False
tam_2s_out_std,float64,72603,72603,0,0.0,0,71608,82842.27544921686,False
tam_3s_in_mean,float64,72603,72603,0,0.0,0,15798,39261.52359734534,False
tam_3s_in_max,int64,72603,72603,0,0.0,0,3433,361563.1909197184,False
tam_3s_in_min,int64,72603,72603,0,0.0,0,81,77.89329487089427,False
tam_3s_in_std,float64,72603,72603,0,0.0,0,70397,50810.00087681289,False
tam_3s_out_mean,float64,72603,72603,0,0.0,0,21020,118446.68325044049,False
tam_3s_out_max,int64,72603,72603,0,0.0,0,5128,1061573.8730199302,False
tam_3s_out_min,int64,72603,72603,0,0.0,0,70,125.49739318125918,False
tam_3s_out_std,float64,72603,72603,0,0.0,0,70718,154389.43885067638,False
tam_4s_in_mean,float64,72603,72603,0,0.0,0,13765,66623.87447243181,False
tam_4s_in_max,int64,72603,72603,0,0.0,0,3851,495775.8253448826,False
tam_4s_in_min,int64,72603,72603,0,0.0,0,146,165.97453432580443,False
tam_4s_in_std,float64,72603,72603,0,0.0,0,68048,77152.43715251227,False
tam_4s_out_mean,float64,72603,72603,0,0.0,0,18424,199256.69977158046,False
tam_4s_out_max,int64,72603,72603,0,0.0,0,5751,1431422.2960457366,False
tam_4s_out_min,int64,72603,72603,0,0.0,0,172,255.4690548737707,False
tam_4s_out_std,float64,72603,72603,0,0.0,0,69109,229660.00741265906,False
tam_5s_in_mean,float64,72603,72603,0,0.0,0,12405,99486.96229220457,False
tam_5s_in_max,int64,72603,72603,0,0.0,0,4236,631814.1819907173,False
tam_5s_in_min,int64,72603,72603,0,0.0,0,554,2180.60521825761,False
tam_5s_in_std,float64,72603,72603,0,0.0,0,62864,108160.56688858532,False
tam_5s_out_mean,float64,72603,72603,0,0.0,0,16668,301138.2079429114,False
tam_5s_out_max,int64,72603,72603,0,0.0,0,6299,1822980.6238530357,False
tam_5s_out_min,int64,72603,72603,0,0.0,0,768,6300.973699506282,False
tam_5s_out_std,float64,72603,72603,0,0.0,0,64936,322104.88644063735,False
global_packet_count_25,float64,72603,72603,0,0.0,0,590,320.01319985356,False
global_packet_count_50,float64,72603,72603,0,0.0,0,1669,16725.002067096688,False
global_packet_count_75,float64,72603,72603,0,0.0,0,5695,127989.6284325002,False
global_packet_count_90,float64,72603,72603,0,0.0,0,39863,293482.0768773683,False
first30_out_in_ratio,float64,72603,72603,0,0.0,0,23,0.08067721361828957,False
first30_out_total_ratio,float64,72603,72603,0,0.0,0,23,0.004987464552444554,False
