fold,site_label,n_queries,xgb_accuracy,ltd_accuracy,ltd_only_rescues,xgb_only_correct,both_wrong,mean_xgb_true_rank,mean_ltd_true_rank
A_EARLY_TO_MIDDLE,50,326,0.8773006134969326,0.7699386503067485,21,56,19,1.3159509202453987,1.49079754601227
A_EARLY_TO_MIDDLE,51,266,0.8646616541353384,0.6954887218045113,16,61,20,1.3571428571428572,1.593984962406015
A_EARLY_TO_MIDDLE,52,325,0.8615384615384616,0.7507692307692307,9,45,36,1.9015384615384616,1.7015384615384614
A_EARLY_TO_MIDDLE,53,326,0.9386503067484663,0.8957055214723927,7,21,13,1.0736196319018405,1.3190184049079754
A_EARLY_TO_MIDDLE,54,328,0.8963414634146342,0.8384146341463414,13,32,21,1.2317073170731707,1.5975609756097562
A_EARLY_TO_MIDDLE,55,321,0.8411214953271028,0.7757009345794392,21,42,30,1.7694704049844237,1.7009345794392523
A_EARLY_TO_MIDDLE,57,269,0.5390334572490706,0.09293680297397769,3,123,121,1.7843866171003717,22.851301115241636
A_EARLY_TO_MIDDLE,6,286,0.8111888111888111,0.6468531468531469,13,60,41,1.6153846153846154,1.9755244755244756
A_EARLY_TO_MIDDLE,60,332,0.7680722891566265,0.5271084337349398,17,97,60,1.4759036144578312,1.9096385542168675
A_EARLY_TO_MIDDLE,61,330,0.9393939393939394,0.9545454545454546,10,5,10,1.215151515151515,1.1333333333333333
A_EARLY_TO_MIDDLE,63,331,0.8489425981873112,0.8096676737160121,32,45,18,1.338368580060423,1.4108761329305135
A_EARLY_TO_MIDDLE,68,330,0.6393939393939394,0.5484848484848485,42,72,77,1.8151515151515152,2.2181818181818183
A_EARLY_TO_MIDDLE,7,328,0.8689024390243902,0.9024390243902439,25,14,18,1.4024390243902438,1.1981707317073171
A_EARLY_TO_MIDDLE,71,329,0.6200607902735562,0.4072948328267477,3,73,122,18.80851063829787,21.045592705167174
A_EARLY_TO_MIDDLE,72,304,0.7697368421052632,0.506578947368421,19,99,51,1.6546052631578947,2.138157894736842
A_EARLY_TO_MIDDLE,76,296,0.8344594594594594,0.7195945945945946,17,51,32,1.4054054054054055,1.6554054054054055
A_EARLY_TO_MIDDLE,77,302,0.22185430463576158,0.20860927152317882,1,5,234,39.913907284768214,46.2317880794702
A_EARLY_TO_MIDDLE,78,334,0.3083832335329341,0.5988023952095808,124,27,107,2.895209580838323,2.1107784431137726
A_EARLY_TO_MIDDLE,80,334,0.7904191616766467,0.6317365269461078,7,60,63,1.5838323353293413,2.6167664670658684
A_EARLY_TO_MIDDLE,81,260,0.7423076923076923,0.5576923076923077,16,64,51,1.8384615384615384,2.792307692307692
A_EARLY_TO_MIDDLE,86,329,0.7082066869300911,0.6474164133738601,42,62,54,1.3951367781155015,1.419452887537994
A_EARLY_TO_MIDDLE,89,330,0.5484848484848485,0.8212121212121212,93,3,56,2.896969696969697,1.506060606060606
A_EARLY_TO_MIDDLE,9,328,0.7378048780487805,0.8719512195121951,61,17,25,2.1280487804878048,1.2134146341463414
A_EARLY_TO_MIDDLE,90,318,0.8301886792452831,0.7641509433962265,18,39,36,1.3616352201257862,1.70125786163522
A_EARLY_TO_MIDDLE,92,235,0.8425531914893617,0.6595744680851063,17,60,20,1.3446808510638297,1.7191489361702128
A_EARLY_TO_MIDDLE,96,330,0.6636363636363637,0.8424242424242424,78,19,33,1.587878787878788,1.3757575757575757
A_EARLY_TO_MIDDLE,97,311,0.33440514469453375,0.3665594855305466,58,48,149,2.0257234726688105,1.9517684887459807
A_EARLY_TO_MIDDLE,98,326,0.9294478527607362,0.8282208588957055,7,40,16,1.2453987730061349,1.4049079754601228
B_EARLY_MIDDLE_TO_LATE,0,271,0.8302583025830258,0.7195571955719557,10,40,36,1.4391143911439115,1.7158671586715868
B_EARLY_MIDDLE_TO_LATE,10,302,0.6887417218543046,0.5264900662251656,40,89,54,1.7119205298013245,1.8874172185430464
B_EARLY_MIDDLE_TO_LATE,102,299,0.6153846153846154,0.7692307692307693,71,25,44,1.8695652173913044,1.3879598662207357
B_EARLY_MIDDLE_TO_LATE,104,304,0.6611842105263158,0.41776315789473684,22,96,81,1.8914473684210527,3.276315789473684
B_EARLY_MIDDLE_TO_LATE,105,305,0.9508196721311475,0.9770491803278688,13,5,2,1.157377049180328,1.0557377049180328
B_EARLY_MIDDLE_TO_LATE,106,282,0.900709219858156,0.8687943262411347,15,24,13,1.1666666666666667,1.198581560283688
