subset_size,model,fold,train_splits,test_split,n_train,n_test,n_classes,all_missing_train_features,all_missing_train_feature_names,accuracy,macro_f1,fit_seconds,predict_seconds,convergence_warning
96,random_forest,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.6879464285714286,0.6754645819750217,3.0953133309958503,0.19558399601373821,False
96,xgboost,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.7327876984126984,0.7265563808066039,6.735380412021186,0.1313447380089201,False
96,logistic_regression,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.6290063243648837,0.6190156030326478,48.12881574197672,0.006934345990885049,False
96,random_forest,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.7167434880480223,0.6958777068613771,6.7973144259885885,0.19622870301827788,False
96,xgboost,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.7623539500482367,0.7486232898055379,9.855477099015843,0.13235754403285682,False
128,logistic_regression,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.6410714285714286,0.6349447393814263,28.074823286035098,0.006841772003099322,False
128,random_forest,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.6935515873015873,0.6810463002975197,3.3834494660259224,0.2063561329850927,False
128,xgboost,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.736904761904762,0.7311043494324135,8.350712278974243,0.1292277870234102,False
128,logistic_regression,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.6404759352556544,0.6312129723772228,51.58947783196345,0.003644539974629879,False
128,random_forest,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.7184049737378069,0.697888330064245,7.435860704048537,0.1967976180021651,False
128,xgboost,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.7674455997427377,0.7535503855279174,12.171313594968524,0.1253712609759532,False
148,logistic_regression,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.6388888888888888,0.6329152055895527,27.68749481800478,0.016719095001462847,False
148,random_forest,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.6924107142857143,0.6788544930476438,3.2692937910323963,0.1961102310451679,False
148,xgboost,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.736656746031746,0.7310323225282683,8.918444246985018,0.1294689389760606,False
148,logistic_regression,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.641601457819702,0.6328802055344595,60.706278542988,0.005816343997139484,False
148,random_forest,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.7171186622360382,0.696811049168885,7.201190678984858,0.19700080796610564,False
148,xgboost,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.768088755493622,0.7545984934557394,13.220431033987552,0.1243917879764922,False
