fold,prototype_type,query_type,distance_metric,site_label,n_queries,top1_accuracy,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,2,14,0.8571428571428571,1.0,0.9166666666666667,1.2142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,21,14,0.9285714285714286,0.9285714285714286,0.935064935064935,1.7142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,24,14,0.8571428571428571,1.0,0.9047619047619048,1.2857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,25,14,0.7142857142857143,0.8571428571428571,0.7971611721611721,2.7857142857142856
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,27,14,0.7857142857142857,0.7857142857142857,0.7953042328042328,5.714285714285714
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,28,14,0.2857142857142857,0.7142857142857143,0.4578231292517007,3.7142857142857144
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,29,14,0.14285714285714285,0.14285714285714285,0.1726205848285937,25.071428571428573
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,31,14,0.8571428571428571,1.0,0.9166666666666666,1.2142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,34,14,0.5,0.7857142857142857,0.6474751439037154,4.928571428571429
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,35,14,0.6428571428571429,0.8571428571428571,0.7571428571428572,2.2857142857142856
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,36,14,0.8571428571428571,0.9285714285714286,0.9047619047619049,1.4285714285714286
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,37,14,0.35714285714285715,0.8571428571428571,0.5745718977246072,4.285714285714286
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,39,14,0.7142857142857143,0.9285714285714286,0.8035714285714285,1.7857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,40,14,0.6428571428571429,0.9285714285714286,0.7758503401360545,3.7857142857142856
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,41,14,1.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,42,14,0.21428571428571427,0.7857142857142857,0.49489795918367346,3.0714285714285716
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,43,14,1.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,45,14,0.21428571428571427,0.35714285714285715,0.29129101370642724,18.142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,46,14,0.07142857142857142,0.9285714285714286,0.44761904761904764,2.9285714285714284
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,47,14,0.35714285714285715,0.9285714285714286,0.5815826330532212,3.142857142857143
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,48,14,0.0,0.0,0.05738130180301786,18.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,50,14,0.21428571428571427,0.7857142857142857,0.4662087912087912,3.642857142857143
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,51,14,0.7857142857142857,0.9285714285714286,0.8511904761904763,1.6428571428571428
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,52,14,0.5,0.7857142857142857,0.6547619047619049,2.5
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,53,14,0.9285714285714286,0.9285714285714286,0.9404761904761906,1.3571428571428572
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,54,14,0.42857142857142855,1.0,0.7142857142857143,1.5714285714285714
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,55,14,0.6428571428571429,0.8571428571428571,0.7398268398268399,2.7142857142857144
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,57,14,0.0,0.0,0.05940740331220207,17.285714285714285
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,6,14,0.42857142857142855,0.6428571428571429,0.5518707482993197,4.142857142857143
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,60,14,0.07142857142857142,0.14285714285714285,0.14362356094443665,14.357142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,cosine,61,14,1.0,1.0,1.0,1.0
