rank_temporal_stability,feature,valid_sites_min,missing_rows_max,ks_mean,ks_worst,wasserstein_norm_mean,wasserstein_norm_worst,median_shift_norm_mean,median_shift_norm_worst,ks_worst_stability_percentile,wasserstein_norm_worst_stability_percentile,median_shift_norm_worst_stability_percentile,temporal_stability_score
86,spectral_energy_high,65,0,0.024798274941925227,0.03036645094403778,0.04396393077978893,0.05926251762223689,0.012292792221841925,0.018378944348676443,0.5530546623794212,0.7556270096463023,0.662379421221865,0.6570203644158629
87,ngrams_2_min_count,65,0,0.020243893182141297,0.020893585149369343,0.07213728887338575,0.08581497503637331,0.011776294928468841,0.017391304347826087,0.8279742765273312,0.42443729903536975,0.7122186495176849,0.654876741693462
88,ngrams_2_top4_count,65,0,0.020243893182141297,0.020893585149369343,0.07214308614985863,0.08582193905024652,0.011776294928468841,0.017391304347826087,0.8279742765273312,0.4212218649517685,0.7122186495176849,0.6538049303322615
89,pps_w5_max,65,0,0.025205140445975383,0.02920187289391335,0.03999478592410272,0.04625148399100232,0.03155829540661692,0.04813359528487221,0.6655948553054662,0.8938906752411575,0.39228295819935693,0.6505894962486602
90,pps_w2_mean,65,0,0.014952725911129061,0.019894756387594636,0.04905649082341007,0.07214829943538661,0.0171975920060899,0.025883069427527407,0.842443729903537,0.5305466237942122,0.5691318327974276,0.647374062165059
91,iat_mean_in,65,0,0.020559215864318105,0.02754420185988088,0.04642098128184468,0.059852889363033714,0.028570934256510975,0.04263406221120872,0.7395498392282959,0.752411575562701,0.44694533762057875,0.6463022508038586
92,max_burst_out,65,0,0.02999427887791724,0.03918022742775484,0.05838618147388518,0.06859042403465382,0.0,0.0,0.3987138263665595,0.6012861736334405,0.927652733118971,0.642550911039657
93,burst_histogram_1,65,0,0.023621869930252726,0.02606855785386919,0.0723697851653558,0.10660312568796802,0.008121830446188276,0.012087026591458501,0.7717041800643086,0.3247588424437299,0.8263665594855305,0.6409431939978564
94,cumul_interp_out_std,65,0,0.024429801409774632,0.03060448298022661,0.05218378242693337,0.0644860590921932,0.01171070080561184,0.017412910031774132,0.5209003215434084,0.6945337620578779,0.707395498392283,0.6409431939978564
95,cumul_interp_out_slope,65,0,0.02451802299035739,0.030544125939416827,0.0522423473684989,0.06469331482253461,0.01171990863579303,0.017437991077004597,0.5241157556270096,0.6913183279742765,0.7041800643086816,0.6398713826366559
