rank_site_persistence,feature,valid_sites_min,spearman_mean,spearman_worst,site_shift_norm_median_mean,site_shift_norm_p90_worst,identity_mrr_mean,identity_mrr_worst,identity_top1_worst,identity_top5_worst,drift_to_separation_median_mean,drift_to_separation_p90_worst,spearman_worst_persistence_percentile,identity_mrr_worst_persistence_percentile,site_shift_p90_persistence_percentile,drift_separation_p90_persistence_percentile,site_persistence_score
67,ngrams_2_top1_count,65,0.9363408757957471,0.8998131536065297,0.027072198918379548,0.40338214064755623,0.5385949667255635,0.4628079644245558,0.2923076923076923,0.676923076923077,0.04702546413592543,0.7414875106618787,0.6061093247588425,0.9083601286173634,0.7861736334405145,0.6157556270096463,0.7290996784565917
68,cumul_interp_in_slope,65,0.9426136363636363,0.9079982517482518,0.029878509566126647,0.4460097594399415,0.538443519916192,0.46060453612011965,0.26153846153846155,0.6461538461538462,0.04229256699669435,0.7404580802441951,0.7363344051446945,0.8713826366559485,0.6752411575562701,0.6270096463022508,0.727491961414791
69,cumul_interp_in_std,65,0.9421765734265733,0.9068618881118881,0.029797638916545816,0.44533102552950626,0.5375547476215842,0.4605023218003987,0.26153846153846155,0.6461538461538462,0.042032188499502514,0.7409134957115149,0.7234726688102894,0.8681672025723473,0.6816720257234726,0.6237942122186495,0.7242765273311896
70,spectral_energy_low,65,0.9407342657342657,0.9055944055944056,0.030082096564904532,0.5710283288698589,0.5243349205512634,0.4591133834048472,0.27692307692307694,0.676923076923077,0.04491296455570013,0.5118254255176035,0.7106109324758842,0.8585209003215434,0.3633440514469453,0.9646302250803859,0.7242765273311896
71,cumul_in_std,65,0.9427156177156176,0.9081293706293706,0.029891997241374275,0.44525394231690785,0.5429356646344938,0.45840673392231746,0.26153846153846155,0.6461538461538462,0.04233777731324562,0.7415220678753964,0.7395498392282959,0.8488745980707395,0.684887459807074,0.6109324758842444,0.7210610932475885
72,ngrams_3_std_count,65,0.9386363636363636,0.9030594405594405,0.036859105665410424,0.3883981562796951,0.472453112051423,0.41315333268048104,0.23076923076923078,0.6307692307692307,0.06366502329325485,0.728167271751336,0.6559485530546624,0.7491961414790996,0.8038585209003215,0.6688102893890675,0.7194533762057878
73,spectral_energy_mid,65,0.9406759906759907,0.905506993006993,0.03083559314083183,0.591952638968877,0.5239655676819105,0.45654928084074464,0.27692307692307694,0.676923076923077,0.045479716863312585,0.5095682146035662,0.707395498392283,0.8456591639871383,0.3408360128617363,0.9678456591639871,0.7154340836012861
74,ratio_pkts_firstN_bursts_total,65,0.9387966200466201,0.9006555944055945,0.03219044375422705,0.5031543743508345,0.5236271888675348,0.44818575813756534,0.27692307692307694,0.6615384615384615,0.041456614584551764,0.5455417748915705,0.6141479099678456,0.7942122186495176,0.5112540192926045,0.9292604501607717,0.7122186495176849
75,cumul_in_last,65,0.9400185491267226,0.9048810604034637,0.02977549905302658,0.4529570182053216,0.5397289370903947,0.4490868027672729,0.24615384615384617,0.6461538461538462,0.039182412133471074,0.7295536575866806,0.6864951768488746,0.8038585209003215,0.6463022508038585,0.657556270096463,0.6985530546623794
76,cumul_in_max,65,0.9400185491267226,0.9048810604034637,0.02977549905302658,0.4529570182053216,0.5397289370903947,0.4490868027672729,0.24615384615384617,0.6461538461538462,0.039182412133471074,0.7295536575866806,0.6864951768488746,0.8038585209003215,0.6463022508038585,0.657556270096463,0.6985530546623794
