fold,site_label,n,v2_accuracy,age_accuracy,delta_accuracy,age_only_correct_n,v2_only_correct_n
B_EARLY_MIDDLE_TO_LATE,10,302,0.7582781456953642,0.7549668874172185,-0.0033112582781457123,13,14
B_EARLY_MIDDLE_TO_LATE,102,299,0.782608695652174,0.745819397993311,-0.03678929765886296,3,14
B_EARLY_MIDDLE_TO_LATE,104,304,0.6611842105263158,0.6381578947368421,-0.023026315789473673,5,12
B_EARLY_MIDDLE_TO_LATE,105,305,0.9737704918032787,0.9770491803278688,0.003278688524590123,2,1
B_EARLY_MIDDLE_TO_LATE,106,282,0.9432624113475178,0.9290780141843972,-0.014184397163120588,0,4
B_EARLY_MIDDLE_TO_LATE,107,266,0.8609022556390977,0.8421052631578947,-0.018796992481203034,3,8
B_EARLY_MIDDLE_TO_LATE,108,279,0.978494623655914,0.978494623655914,0.0,0,0
B_EARLY_MIDDLE_TO_LATE,109,292,0.910958904109589,0.9006849315068494,-0.010273972602739656,1,4
B_EARLY_MIDDLE_TO_LATE,11,285,0.9228070175438596,0.9192982456140351,-0.0035087719298245723,1,2
B_EARLY_MIDDLE_TO_LATE,110,223,0.5067264573991032,0.5022421524663677,-0.004484304932735439,0,1
B_EARLY_MIDDLE_TO_LATE,113,307,0.8827361563517915,0.8794788273615635,-0.0032573289902280145,4,5
B_EARLY_MIDDLE_TO_LATE,117,305,0.5967213114754099,0.5901639344262295,-0.006557377049180357,1,3
B_EARLY_MIDDLE_TO_LATE,12,304,0.7006578947368421,0.7236842105263158,0.023026315789473673,10,3
B_EARLY_MIDDLE_TO_LATE,14,265,0.660377358490566,0.6792452830188679,0.018867924528301883,9,4
B_EARLY_MIDDLE_TO_LATE,18,304,0.8980263157894737,0.9013157894736842,0.003289473684210509,6,5
B_EARLY_MIDDLE_TO_LATE,2,298,0.9899328859060402,0.9899328859060402,0.0,0,0
B_EARLY_MIDDLE_TO_LATE,21,295,0.8949152542372881,0.9084745762711864,0.013559322033898313,6,2
B_EARLY_MIDDLE_TO_LATE,24,244,0.8729508196721312,0.8729508196721312,0.0,2,2
B_EARLY_MIDDLE_TO_LATE,25,304,0.930921052631579,0.9210526315789473,-0.009868421052631637,2,5
B_EARLY_MIDDLE_TO_LATE,27,303,0.11221122112211221,0.09570957095709572,-0.016501650165016493,2,7
B_EARLY_MIDDLE_TO_LATE,28,294,0.9863945578231292,0.9829931972789115,-0.003401360544217691,0,1
B_EARLY_MIDDLE_TO_LATE,29,305,0.6032786885245902,0.6131147540983607,0.00983606557377048,9,6
B_EARLY_MIDDLE_TO_LATE,31,269,0.9516728624535316,0.9591078066914498,0.0074349442379182396,3,1
B_EARLY_MIDDLE_TO_LATE,34,290,0.9586206896551724,0.9413793103448276,-0.017241379310344862,0,5
B_EARLY_MIDDLE_TO_LATE,35,298,0.9395973154362416,0.9362416107382551,-0.003355704697986517,1,2
B_EARLY_MIDDLE_TO_LATE,36,299,0.9230769230769231,0.9130434782608695,-0.010033444816053616,2,5
B_EARLY_MIDDLE_TO_LATE,37,304,0.805921052631579,0.8026315789473685,-0.003289473684210509,2,3
B_EARLY_MIDDLE_TO_LATE,39,298,0.8758389261744967,0.8691275167785235,-0.006711409395973145,4,6
B_EARLY_MIDDLE_TO_LATE,40,300,0.86,0.8533333333333334,-0.006666666666666599,3,5
B_EARLY_MIDDLE_TO_LATE,41,239,0.9372384937238494,0.9372384937238494,0.0,1,1
B_EARLY_MIDDLE_TO_LATE,42,270,0.9037037037037037,0.9074074074074074,0.0037037037037037646,2,1
B_EARLY_MIDDLE_TO_LATE,43,286,0.8916083916083916,0.8846153846153846,-0.006993006993006978,2,4
B_EARLY_MIDDLE_TO_LATE,45,270,0.737037037037037,0.6962962962962963,-0.040740740740740744,3,14
B_EARLY_MIDDLE_TO_LATE,46,218,0.5412844036697247,0.42660550458715596,-0.11467889908256879,1,26
B_EARLY_MIDDLE_TO_LATE,47,306,0.7875816993464052,0.7647058823529411,-0.022875816993464082,5,12
B_EARLY_MIDDLE_TO_LATE,48,253,0.11462450592885376,0.1067193675889328,-0.007905138339920958,1,3
B_EARLY_MIDDLE_TO_LATE,50,303,0.31353135313531355,0.3069306930693069,-0.006600660066006625,3,5
B_EARLY_MIDDLE_TO_LATE,51,255,0.8980392156862745,0.9058823529411765,0.007843137254901933,3,1
B_EARLY_MIDDLE_TO_LATE,52,301,0.8305647840531561,0.8372093023255814,0.006644518272425293,7,5
B_EARLY_MIDDLE_TO_LATE,53,302,0.9735099337748344,0.9602649006622517,-0.013245033112582738,1,5
