rank_representatives,feature,rank_discriminability,score_min,rank_temporal_stability,temporal_stability_score,rank_site_persistence,site_persistence_score,cluster_id,cluster_size,cluster_members,min_similarity_to_cluster,dtp_min,dtp_geometric_mean,dtp_arithmetic_mean,dtp_balance_gap,rank_within_cluster,is_cluster_representative,pareto_front
34,cumul_out_diffs_p50,284,0.1018220793140407,23,0.9287245444801716,238,0.2813504823151125,80,1,cumul_out_diffs_p50,1.0,0.1018220793140407,0.2985328884217549,0.43729903536977494,0.8269024651661309,1,True,3
35,cumul_out_min,290,0.0873526259378349,6,0.9640943193997856,241,0.2813504823151125,83,1,cumul_out_min,1.0,0.0873526259378349,0.2872198058562001,0.4442658092175777,0.8767416934619507,1,True,3
36,tam_4s_in_max,104,0.6387995712754555,124,0.5937834941050375,113,0.6278135048231511,44,2,tam_4s_in_max|tam_4s_in_std,0.989257134361626,0.5937834941050375,0.6198326704248042,0.6201321900678813,0.045016077170418,1,True,4
37,iat_mean_in,128,0.5873526259378349,91,0.6463022508038586,141,0.5570739549839229,89,1,iat_mean_in,1.0,0.5570739549839229,0.5957752795753128,0.5969096105752055,0.08922829581993574,1,True,4
38,burst_histogram_6_10,156,0.4823151125401929,163,0.510182207931404,88,0.682475884244373,63,1,burst_histogram_6_10,1.0,0.4823151125401929,0.5517146247355159,0.55832440157199,0.20016077170418012,1,True,4
39,tam_4s_in_mean,86,0.692390139335477,185,0.4405144694533762,114,0.6270096463022508,8,5,tam_1s_in_mean|tam_2s_in_mean|tam_3s_in_mean|tam_4s_in_mean|tam_5s_in_mean,0.9790146599908168,0.4405144694533762,0.5761405261620889,0.586638085030368,0.2518756698821008,1,True,4
40,burst_histogram_3_5,143,0.5380493033226151,193,0.4212218649517685,81,0.6961414790996785,62,1,burst_histogram_3_5,1.0,0.4212218649517685,0.5403520837428445,0.551804215791354,0.27491961414791,1,True,4
41,transition_p1_to_p1,108,0.6216505894962486,217,0.3622722400857449,111,0.65032154340836,148,1,transition_p1_to_p1,1.0,0.3622722400857449,0.5271123389318759,0.5447481243301179,0.28804930332261514,1,True,4
42,ngrams_3_top5_frac,176,0.4244372990353697,55,0.7202572347266881,202,0.3536977491961415,109,1,ngrams_3_top5_frac,1.0,0.3536977491961415,0.4764066582445451,0.49946409431939975,0.3665594855305466,1,True,4
43,burst_durations_sum,203,0.3322615219721329,201,0.4083601286173633,59,0.7403536977491961,61,1,burst_durations_sum,1.0,0.3322615219721329,0.46485860787886263,0.49365844944623083,0.40809217577706325,1,True,4
44,cumul_interp_in_skew,218,0.2818863879957127,42,0.7706323687031084,207,0.3295819935691318,10,4,cumul_in_skew|cumul_interp_in_skew|cumul_interp_out_skew|cumul_out_skew,0.9719473005942428,0.2818863879957127,0.41523594624961707,0.4607002500893176,0.48874598070739567,1,True,4
45,burst_max,209,0.3054662379421222,241,0.2502679528403,26,0.77532154340836,65,1,burst_max,1.0,0.2502679528403,0.38989718801369266,0.4436852447302608,0.52505359056806,1,True,4
46,DoA,167,0.4485530546623794,249,0.2315112540192926,28,0.772508038585209,14,4,DoA|duration|times_duration|times_max,1.0,0.2315112540192926,0.4312836335645948,0.4841907824222937,0.5409967845659164,1,True,4
47,cumul_in_diffs_p50,282,0.1071811361200428,27,0.9244372990353696,233,0.2813504823151125,73,1,cumul_in_diffs_p50,1.0,0.1071811361200428,0.3032130065508283,0.43765630582350834,0.8172561629153269,1,True,4
48,cumul_out_diffs_median,286,0.0937834941050375,22,0.9287245444801716,237,0.2813504823151125,79,1,cumul_out_diffs_median,1.0,0.0937834941050375,0.2904604453158289,0.4346195069667738,0.8349410503751341,1,True,4
49,cumul_out_diffs_p75,293,0.0739549839228295,16,0.9437299035369776,239,0.2813504823151125,81,1,cumul_out_diffs_p75,1.0,0.0739549839228295,0.2697869525760261,0.4330117899249732,0.8697749196141481,1,True,4
50,cumul_out_diffs_p90,302,0.0530546623794212,13,0.9480171489817792,240,0.2813504823151125,82,1,cumul_out_diffs_p90,1.0,0.0530546623794212,0.24187768549324196,0.42747409789210433,0.894962486602358,1,True,4
51,ngrams_3_unique,306,0.0144694533762057,9,0.955519828510182,246,0.2813504823151125,111,1,ngrams_3_unique,1.0,0.0144694533762057,0.15727022115719944,0.4171132547338334,0.9410503751339763,1,True,4
52,burst_durations_p25,307,0.010182207931404,7,0.9619506966773848,224,0.2813504823151125,55,1,burst_durations_p25,1.0,0.010182207931404,0.14019982762904337,0.4178277956413004,0.9517684887459807,1,True,4
53,tam_5s_out_max,107,0.6259378349410504,154,0.542336548767417,129,0.5924437299035369,46,2,tam_5s_out_max|tam_5s_out_std,0.9894966510819506,0.542336548767417,0.585889517679805,0.5869060378706682,0.08360128617363338,1,True,5
54,tam_2s_in_std,134,0.5584137191854234,212,0.3804930332261522,127,0.5940514469453376,12,4,tam_1s_in_max|tam_1s_in_std|tam_2s_in_max|tam_2s_in_std,0.9514343443887574,0.3804930332261522,0.5016208914352487,0.5109860664523044,0.21355841371918544,1,True,5
55,ratio_out_bursts_total,188,0.3692390139335477,149,0.5541264737406216,165,0.5168810289389068,19,3,ratio_in_bursts_total|ratio_out_bursts_total|ratio_out_in_bursts,1.0,0.3692390139335477,0.472899685080684,0.48008217220435867,0.18488745980707394,1,True,5
56,cumul_interp_in_slope_norm,198,0.3504823151125402,179,0.4705251875669882,108,0.659967845659164,26,2,cumul_interp_in_slope_norm|cumul_interp_out_slope_norm,0.9755490459466896,0.3504823151125402,0.4774456278812686,0.49365844944623083,0.3094855305466238,1,True,5
57,cumul_interp_in_kurtosis,208,0.307609860664523,118,0.6012861736334405,174,0.4927652733118971,9,4,cumul_in_kurtosis|cumul_interp_in_kurtosis|cumul_interp_out_kurtosis|cumul_out_kurtosis,0.9654861614793624,0.307609860664523,0.4500290215674993,0.4672204358699535,0.2936763129689175,1,True,5
58,iat_std_out,177,0.4244372990353697,247,0.2368703108252947,118,0.6197749196141479,96,1,iat_std_out,1.0,0.2368703108252947,0.3964478405602989,0.4270275098249374,0.3829046087888532,1,True,5
59,burst_std,266,0.1832797427652733,232,0.2743837084673097,103,0.6655948553054662,70,1,burst_std,1.0,0.1832797427652733,0.32227571570187163,0.3744194355126831,0.48231511254019294,1,True,5
60,iat_var,142,0.5391211146838156,272,0.1629153269024651,116,0.6221864951768489,97,1,iat_var,1.0,0.1629153269024651,0.3794806378955773,0.44140764558770984,0.45927116827438375,1,True,5
61,iat_min,232,0.2443729903536977,105,0.6296891747052519,307,0.1410771704180064,91,1,iat_min,1.0,0.1410771704180064,0.27896221985433434,0.33837977849231865,0.4886120042872455,1,True,5
62,pps_w10_burst_count,193,0.3590568060021437,119,0.5964630225080386,309,0.1008842443729903,117,1,pps_w10_burst_count,1.0,0.1008842443729903,0.27852018687232,0.3521346909610575,0.4955787781350483,1,True,5
63,time_to_first_response,291,0.0836012861736334,53,0.7320471596998929,276,0.202572347266881,145,1,time_to_first_response,1.0,0.0836012861736334,0.23144300516922164,0.3394069310468024,0.6484458735262595,1,True,5
64,burst_size_p50,294,0.0718113612004287,18,0.940514469453376,228,0.2813504823151125,67,1,burst_size_p50,1.0,0.0718113612004287,0.26685095913420165,0.4312254376563058,0.8687031082529473,1,True,5
65,cumul_in_diffs_p25,299,0.0637727759914255,17,0.9415862808145766,232,0.2813504823151125,72,1,cumul_in_diffs_p25,1.0,0.0637727759914255,0.2565947123898167,0.4289031797070382,0.8778135048231511,1,True,5
66,ngrams_2_unique,308,0.010182207931404,8,0.957663451232583,245,0.2813504823151125,106,1,ngrams_2_unique,1.0,0.010182207931404,0.13999123542568603,0.4163987138263665,0.947481243301179,1,True,5
67,tam_3s_in_max,112,0.6162915326902465,159,0.5294748124330119,132,0.582797427652733,42,2,tam_3s_in_max|tam_3s_in_std,0.9873518285545676,0.5294748124330119,0.575064260300598,0.5761879242586638,0.08681672025723464,1,True,6
68,burst_durations_kurtosis,164,0.4523043944265809,155,0.5380493033226151,170,0.5056270096463023,21,2,burst_durations_kurtosis|burst_durations_skew,0.9963896440416016,0.4523043944265809,0.49738694479297374,0.49866023579849944,0.08574490889603426,1,True,6
69,burst_durations_longest_ratio,231,0.2518756698821007,198,0.4147909967845659,123,0.6053054662379421,50,1,burst_durations_longest_ratio,1.0,0.2518756698821007,0.39840982995005775,0.42399071096820284,0.35342979635584143,1,True,6
