fold,site_label,n,v1_accuracy,v2_accuracy,delta_accuracy,v2_only_correct_n,v1_only_correct_n
B_EARLY_MIDDLE_TO_LATE,106,282,0.9468085106382979,0.9432624113475178,-0.0035460992907800915,1,2
B_EARLY_MIDDLE_TO_LATE,107,266,0.8984962406015038,0.8609022556390977,-0.03759398496240607,0,10
B_EARLY_MIDDLE_TO_LATE,108,279,0.978494623655914,0.978494623655914,0.0,0,0
B_EARLY_MIDDLE_TO_LATE,109,292,0.9006849315068494,0.910958904109589,0.010273972602739656,3,0
B_EARLY_MIDDLE_TO_LATE,11,285,0.9228070175438596,0.9228070175438596,0.0,0,0
B_EARLY_MIDDLE_TO_LATE,110,223,0.5112107623318386,0.5067264573991032,-0.004484304932735439,0,1
B_EARLY_MIDDLE_TO_LATE,113,307,0.8794788273615635,0.8827361563517915,0.0032573289902280145,4,3
B_EARLY_MIDDLE_TO_LATE,117,305,0.6,0.5967213114754099,-0.003278688524590123,0,1
B_EARLY_MIDDLE_TO_LATE,12,304,0.7138157894736842,0.7006578947368421,-0.013157894736842035,4,8
B_EARLY_MIDDLE_TO_LATE,14,265,0.6679245283018868,0.660377358490566,-0.007547169811320753,8,10
B_EARLY_MIDDLE_TO_LATE,18,304,0.9046052631578947,0.8980263157894737,-0.006578947368421018,3,5
B_EARLY_MIDDLE_TO_LATE,2,298,0.9899328859060402,0.9899328859060402,0.0,0,0
B_EARLY_MIDDLE_TO_LATE,21,295,0.9084745762711864,0.8949152542372881,-0.013559322033898313,1,5
B_EARLY_MIDDLE_TO_LATE,24,244,0.8770491803278688,0.8729508196721312,-0.004098360655737654,1,2
B_EARLY_MIDDLE_TO_LATE,25,304,0.9342105263157895,0.930921052631579,-0.003289473684210509,1,2
B_EARLY_MIDDLE_TO_LATE,27,303,0.09570957095709572,0.11221122112211221,0.016501650165016493,7,2
B_EARLY_MIDDLE_TO_LATE,28,294,0.9863945578231292,0.9863945578231292,0.0,0,0
B_EARLY_MIDDLE_TO_LATE,29,305,0.5606557377049181,0.6032786885245902,0.042622950819672156,16,3
B_EARLY_MIDDLE_TO_LATE,31,269,0.9479553903345725,0.9516728624535316,0.0037174721189590088,2,1
B_EARLY_MIDDLE_TO_LATE,34,290,0.9517241379310345,0.9586206896551724,0.006896551724137945,3,1
B_EARLY_MIDDLE_TO_LATE,35,298,0.9395973154362416,0.9395973154362416,0.0,1,1
B_EARLY_MIDDLE_TO_LATE,36,299,0.919732441471572,0.9230769230769231,0.0033444816053511683,1,0
B_EARLY_MIDDLE_TO_LATE,37,304,0.8026315789473685,0.805921052631579,0.003289473684210509,3,2
B_EARLY_MIDDLE_TO_LATE,39,298,0.87248322147651,0.8758389261744967,0.003355704697986628,7,6
B_EARLY_MIDDLE_TO_LATE,40,300,0.8633333333333333,0.86,-0.0033333333333332993,2,3
B_EARLY_MIDDLE_TO_LATE,41,239,0.9372384937238494,0.9372384937238494,0.0,1,1
B_EARLY_MIDDLE_TO_LATE,42,270,0.9074074074074074,0.9037037037037037,-0.0037037037037037646,2,3
B_EARLY_MIDDLE_TO_LATE,43,286,0.8741258741258742,0.8916083916083916,0.01748251748251739,6,1
B_EARLY_MIDDLE_TO_LATE,45,270,0.7148148148148148,0.737037037037037,0.022222222222222254,11,5
B_EARLY_MIDDLE_TO_LATE,46,218,0.48623853211009177,0.5412844036697247,0.055045871559632975,12,0
B_EARLY_MIDDLE_TO_LATE,47,306,0.7712418300653595,0.7875816993464052,0.016339869281045694,9,4
B_EARLY_MIDDLE_TO_LATE,48,253,0.11462450592885376,0.11462450592885376,0.0,1,1
