fold,site_label,n_queries,xgb_accuracy,fusion_accuracy,delta_accuracy,fusion_only_correct_n,xgb_only_correct_n,net_correct_n
B_EARLY_MIDDLE_TO_LATE,29,305,0.5868852459016394,0.5606557377049181,-0.02622950819672132,13,21,-8
B_EARLY_MIDDLE_TO_LATE,31,269,0.9182156133828996,0.9479553903345725,0.029739776951672958,10,2,8
B_EARLY_MIDDLE_TO_LATE,34,290,0.8862068965517241,0.9517241379310345,0.06551724137931036,20,1,19
B_EARLY_MIDDLE_TO_LATE,35,298,0.9228187919463087,0.9395973154362416,0.016778523489932917,6,1,5
B_EARLY_MIDDLE_TO_LATE,36,299,0.8929765886287625,0.919732441471572,0.026755852842809458,10,2,8
B_EARLY_MIDDLE_TO_LATE,37,304,0.7861842105263158,0.8026315789473685,0.016447368421052655,15,10,5
B_EARLY_MIDDLE_TO_LATE,39,298,0.8557046979865772,0.87248322147651,0.016778523489932806,11,6,5
B_EARLY_MIDDLE_TO_LATE,40,300,0.83,0.8633333333333333,0.033333333333333326,14,4,10
B_EARLY_MIDDLE_TO_LATE,41,239,0.9372384937238494,0.9372384937238494,0.0,3,3,0
B_EARLY_MIDDLE_TO_LATE,42,270,0.8555555555555555,0.9074074074074074,0.05185185185185193,19,5,14
B_EARLY_MIDDLE_TO_LATE,43,286,0.8601398601398601,0.8741258741258742,0.013986013986014068,10,6,4
B_EARLY_MIDDLE_TO_LATE,45,270,0.6296296296296297,0.7148148148148148,0.08518518518518514,32,9,23
B_EARLY_MIDDLE_TO_LATE,46,218,0.5045871559633027,0.48623853211009177,-0.018348623853210955,10,14,-4
B_EARLY_MIDDLE_TO_LATE,47,306,0.7777777777777778,0.7712418300653595,-0.006535947712418277,10,12,-2
B_EARLY_MIDDLE_TO_LATE,48,253,0.1067193675889328,0.11462450592885376,0.007905138339920958,6,4,2
B_EARLY_MIDDLE_TO_LATE,50,303,0.2838283828382838,0.2871287128712871,0.0033003300330032848,12,11,1
B_EARLY_MIDDLE_TO_LATE,51,255,0.8784313725490196,0.8862745098039215,0.007843137254901933,7,5,2
B_EARLY_MIDDLE_TO_LATE,52,301,0.8172757475083057,0.8338870431893688,0.01661129568106312,8,3,5
B_EARLY_MIDDLE_TO_LATE,53,302,0.9238410596026491,0.9602649006622517,0.03642384105960261,12,1,11
B_EARLY_MIDDLE_TO_LATE,54,303,0.900990099009901,0.9207920792079208,0.01980198019801982,10,4,6
B_EARLY_MIDDLE_TO_LATE,55,289,0.8650519031141869,0.8927335640138409,0.02768166089965396,13,5,8
B_EARLY_MIDDLE_TO_LATE,57,245,0.24081632653061225,0.19591836734693877,-0.04489795918367348,13,24,-11
B_EARLY_MIDDLE_TO_LATE,6,283,0.8586572438162544,0.8586572438162544,0.0,5,5,0
B_EARLY_MIDDLE_TO_LATE,60,303,0.8250825082508251,0.8613861386138614,0.0363036303630363,14,3,11
B_EARLY_MIDDLE_TO_LATE,61,302,0.890728476821192,0.8940397350993378,0.0033112582781457123,6,5,1
B_EARLY_MIDDLE_TO_LATE,63,303,0.9075907590759076,0.9075907590759076,0.0,3,3,0
B_EARLY_MIDDLE_TO_LATE,68,302,0.6456953642384106,0.6721854304635762,0.026490066225165587,15,7,8
B_EARLY_MIDDLE_TO_LATE,7,303,0.9570957095709571,0.9636963696369637,0.0066006600660065695,3,1,2
B_EARLY_MIDDLE_TO_LATE,71,305,0.6754098360655738,0.8459016393442623,0.17049180327868851,52,0,52
B_EARLY_MIDDLE_TO_LATE,72,282,0.8333333333333334,0.8475177304964538,0.014184397163120477,7,3,4
B_EARLY_MIDDLE_TO_LATE,76,270,0.7851851851851852,0.8629629629629629,0.07777777777777772,23,2,21
B_EARLY_MIDDLE_TO_LATE,77,290,0.15517241379310345,0.2655172413793103,0.11034482758620687,38,6,32
B_EARLY_MIDDLE_TO_LATE,78,306,0.8398692810457516,0.8921568627450981,0.05228758169934644,19,3,16
B_EARLY_MIDDLE_TO_LATE,80,309,0.7152103559870551,0.8446601941747572,0.12944983818770217,42,2,40
B_EARLY_MIDDLE_TO_LATE,81,258,0.8372093023255814,0.8682170542635659,0.03100775193798444,10,2,8
B_EARLY_MIDDLE_TO_LATE,86,300,0.6933333333333334,0.6933333333333334,0.0,3,3,0
B_EARLY_MIDDLE_TO_LATE,89,307,0.8078175895765473,0.8143322475570033,0.006514657980456029,16,14,2
B_EARLY_MIDDLE_TO_LATE,9,303,0.8778877887788779,0.8943894389438944,0.01650165016501659,9,4,5
B_EARLY_MIDDLE_TO_LATE,90,300,0.9133333333333333,0.9466666666666667,0.033333333333333326,11,1,10
B_EARLY_MIDDLE_TO_LATE,92,216,0.8287037037037037,0.8657407407407407,0.03703703703703698,10,2,8
B_EARLY_MIDDLE_TO_LATE,96,286,0.8391608391608392,0.8356643356643356,-0.0034965034965035446,7,8,-1
B_EARLY_MIDDLE_TO_LATE,97,290,0.5275862068965518,0.5344827586206896,0.006896551724137834,4,2,2
B_EARLY_MIDDLE_TO_LATE,98,306,0.9575163398692811,0.9738562091503268,0.016339869281045694,6,1,5
