track,site_label,model,n,accuracy,mean_true_rank
DEV_FROZEN,113,LTD_HYBRID_FINAL,289,0.48788927335640137,2.7716262975778547
DEV_FROZEN,117,MICRO_FINAL,289,0.3356401384083045,2.2214532871972317
DEV_FROZEN,117,MACRO_XGB,289,0.0034602076124567475,2.640138408304498
DEV_FROZEN,117,MACRO_LTD,289,0.08304498269896193,2.4844290657439445
DEV_FROZEN,117,MACRO_LTD_FINAL,289,0.0,2.7231833910034604
DEV_FROZEN,117,LTD_HYBRID_FINAL,289,0.29411764705882354,2.3183391003460208
DEV_FROZEN,12,MICRO_FINAL,312,0.4423076923076923,5.076923076923077
DEV_FROZEN,12,MACRO_XGB,312,0.009615384615384616,7.8076923076923075
DEV_FROZEN,12,MACRO_LTD,312,0.0,22.990384615384617
DEV_FROZEN,12,MACRO_LTD_FINAL,312,0.0,10.862179487179487
DEV_FROZEN,12,LTD_HYBRID_FINAL,312,0.3974358974358974,4.951923076923077
DEV_FROZEN,14,MICRO_FINAL,306,0.16993464052287582,23.57843137254902
DEV_FROZEN,14,MACRO_XGB,306,0.0032679738562091504,27.859477124183005
DEV_FROZEN,14,MACRO_LTD,306,0.0,35.3562091503268
DEV_FROZEN,14,MACRO_LTD_FINAL,306,0.006535947712418301,33.10457516339869
DEV_FROZEN,14,LTD_HYBRID_FINAL,306,0.13398692810457516,27.029411764705884
DEV_FROZEN,18,MICRO_FINAL,330,0.6363636363636364,4.257575757575758
DEV_FROZEN,18,MACRO_XGB,330,0.15454545454545454,5.303030303030303
DEV_FROZEN,18,MACRO_LTD,330,0.006060606060606061,20.745454545454546
DEV_FROZEN,18,MACRO_LTD_FINAL,330,0.06666666666666667,9.472727272727273
DEV_FROZEN,18,LTD_HYBRID_FINAL,330,0.6909090909090909,1.7212121212121212
DEV_FROZEN,2,MICRO_FINAL,287,0.2926829268292683,11.526132404181185
DEV_FROZEN,2,MACRO_XGB,287,0.4634146341463415,1.8850174216027875
DEV_FROZEN,2,MACRO_LTD,287,0.9407665505226481,1.10801393728223
DEV_FROZEN,2,MACRO_LTD_FINAL,287,0.9442508710801394,1.0801393728222997
DEV_FROZEN,2,LTD_HYBRID_FINAL,287,0.7247386759581882,1.3414634146341464
DEV_FROZEN,21,MICRO_FINAL,308,0.44805194805194803,2.737012987012987
DEV_FROZEN,21,MACRO_XGB,308,0.06818181818181818,7.711038961038961
DEV_FROZEN,21,MACRO_LTD,308,0.016233766233766232,7.12987012987013
DEV_FROZEN,21,MACRO_LTD_FINAL,308,0.10064935064935066,4.935064935064935
DEV_FROZEN,21,LTD_HYBRID_FINAL,308,0.5974025974025974,1.9902597402597402
DEV_FROZEN,24,MICRO_FINAL,263,0.3574144486692015,16.844106463878326
DEV_FROZEN,24,MACRO_XGB,263,0.21292775665399238,6.064638783269962
