track,comparison,reference,candidate,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
HISTORICAL_FINAL,MICRO_LTD_OUTER55_vs_MICRO,MICRO,MICRO_LTD_OUTER55,mrr,0.022449798875265492,0.022348232480319127,0.01790485270360329,0.026250972008859567,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_NO_LTD_RENORM,HYBRID_NO_LTD_RENORM,ACTUAL_HYBRID,accuracy,0.023297201100145604,0.0233067977823234,0.018549482688548016,0.027680382916856813,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_NO_LTD_RENORM,HYBRID_NO_LTD_RENORM,ACTUAL_HYBRID,macro_f1,0.025291979393562647,0.025306030451320887,0.02041910548883438,0.030027167110768572,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_NO_LTD_RENORM,HYBRID_NO_LTD_RENORM,ACTUAL_HYBRID,top5_accuracy,0.0205468370813785,0.020576039446840517,0.016104933757021343,0.024889596935871946,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_NO_LTD_RENORM,HYBRID_NO_LTD_RENORM,ACTUAL_HYBRID,mrr,0.020503786333428198,0.020473637227882285,0.017112314904972267,0.023667619326307714,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_NO_XGB_RENORM,HYBRID_NO_XGB_RENORM,ACTUAL_HYBRID,accuracy,0.0545758507253411,0.0546094421945956,0.051265818481234994,0.057607025854528614,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_NO_XGB_RENORM,HYBRID_NO_XGB_RENORM,ACTUAL_HYBRID,macro_f1,0.04820059285832279,0.048242085660223956,0.04439796507368438,0.05154929318602232,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_NO_XGB_RENORM,HYBRID_NO_XGB_RENORM,ACTUAL_HYBRID,top5_accuracy,0.11060777651944131,0.11066411750951045,0.10613452340158525,0.11590857478883178,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_NO_XGB_RENORM,HYBRID_NO_XGB_RENORM,ACTUAL_HYBRID,mrr,0.0731857805065515,0.07321767334986702,0.0712799153864046,0.07515956128091796,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO_XGB_OUTER55,MICRO_XGB_OUTER55,ACTUAL_HYBRID,accuracy,-0.007496090168796876,-0.007517131736179702,-0.012204225985911966,-0.0030733508174463652,0.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO_XGB_OUTER55,MICRO_XGB_OUTER55,ACTUAL_HYBRID,macro_f1,0.0016109331830578277,0.0016070975369053607,-0.0030276993097082387,0.006538254999587083,0.7475
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO_XGB_OUTER55,MICRO_XGB_OUTER55,ACTUAL_HYBRID,top5_accuracy,-0.004691797443779344,-0.004685298413668532,-0.008488634066986842,-0.0009693577916980335,0.0055
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO_XGB_OUTER55,MICRO_XGB_OUTER55,ACTUAL_HYBRID,mrr,-0.006358928833811284,-0.0063998598256153495,-0.009463264978342914,-0.0036084005481413456,0.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO_LTD_OUTER55,MICRO_LTD_OUTER55,ACTUAL_HYBRID,accuracy,0.053874777544086705,0.05391967276266952,0.05005776557635852,0.0580061682938294,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO_LTD_OUTER55,MICRO_LTD_OUTER55,ACTUAL_HYBRID,macro_f1,0.05510398685531295,0.05513775816075565,0.05113150340796731,0.05976482649472981,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO_LTD_OUTER55,MICRO_LTD_OUTER55,ACTUAL_HYBRID,top5_accuracy,0.14652429488216578,0.14661221509103337,0.1413103457931098,0.1530142968998962,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO_LTD_OUTER55,MICRO_LTD_OUTER55,ACTUAL_HYBRID,mrr,0.08856908041196859,0.08861768832990052,0.0861783061928414,0.09157413814877055,1.0
