comparison,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
HISTORICAL_FINAL::HYBRID_vs_MICRO,top5_accuracy,0.1582807528447393,0.15834159960630798,0.15335771105120696,0.16396709613102584,1.0
HISTORICAL_FINAL::HYBRID_vs_MICRO,mrr,0.11101887928723408,0.1110285432330009,0.108417399766862,0.11394907521260442,1.0
HISTORICAL_FINAL::HYBRID_vs_MACRO_FINAL,accuracy,0.06692552445666827,0.06676954644707792,0.0584475337502462,0.07424163791984065,1.0
HISTORICAL_FINAL::HYBRID_vs_MACRO_FINAL,macro_f1,0.0799235675091749,0.07976035868363782,0.07202642700504984,0.08732938773233477,1.0
HISTORICAL_FINAL::HYBRID_vs_MACRO_FINAL,top5_accuracy,0.07016124683168856,0.07009277097388972,0.06269008872869446,0.07743920765787113,1.0
HISTORICAL_FINAL::HYBRID_vs_MACRO_FINAL,mrr,0.06699737909880721,0.06689560677313723,0.06090369142635486,0.07276536986627832,1.0
HISTORICAL_FINAL::MACRO_FINAL_vs_XGB,accuracy,0.002265005662514169,0.0022011445958806737,-0.002681483217892764,0.006743935893275178,0.8165
HISTORICAL_FINAL::MACRO_FINAL_vs_XGB,macro_f1,0.0007689231093905569,0.0006803996353275896,-0.0051679945652705235,0.0063817627230847,0.601
HISTORICAL_FINAL::MACRO_FINAL_vs_XGB,top5_accuracy,-0.016070754462600423,-0.016133966790186235,-0.02361362100076545,-0.00847731796661878,0.0
HISTORICAL_FINAL::MACRO_FINAL_vs_XGB,mrr,-0.0038310154509863525,-0.003915461296069497,-0.008323555506340818,0.00015915279188454266,0.0295
HISTORICAL_REFIT_vs_DEV_FROZEN::MICRO_FINAL,accuracy,-0.2091355228388071,-0.20934007713248967,-0.21852847616524398,-0.20058825843514527,0.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MICRO_FINAL,macro_f1,-0.2348282972844349,-0.23478115315525475,-0.24336478201003459,-0.2258400840755393,0.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MICRO_FINAL,top5_accuracy,-0.19878121123874237,-0.19905568638467214,-0.20976516506074638,-0.19095860568210113,0.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MICRO_FINAL,mrr,-0.19992466916347662,-0.2001311271262591,-0.20839783955201044,-0.1928952436824373,0.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_XGB,accuracy,-0.0001078574125006615,-1.1089078629387835e-05,-0.0045798644409756634,0.004759175336235161,0.486
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_XGB,macro_f1,0.012197313210693755,0.012281054482134431,0.007666365457126103,0.01713086673047342,1.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_XGB,top5_accuracy,0.023566844631397244,0.023562821883339958,0.017665446201995665,0.029269745575412124,1.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_XGB,mrr,0.0059135286340551985,0.005973254996509549,0.00249998948908048,0.009404715245723788,1.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_LTD,accuracy,0.0034514372000215704,0.003526875552115497,-0.0015314151950401955,0.008726753202612802,0.908
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_LTD,macro_f1,0.004095640170085374,0.004200539315567523,-0.0016469985241388911,0.00978144826054224,0.923
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_LTD,top5_accuracy,0.043790109475273675,0.043697064253942444,0.03795168633407603,0.049459731488308394,1.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_LTD,mrr,0.017755679685823034,0.01775475307709668,0.0136187168795784,0.021770084856371975,1.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_LTD_FINAL,accuracy,0.01245753114382786,0.012459840193581833,0.007884513506425368,0.017469122929232462,1.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_LTD_FINAL,macro_f1,0.024344790578297443,0.0242945859377572,0.02043965278438262,0.02841384233534742,1.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_LTD_FINAL,top5_accuracy,0.033274011756457944,0.033215702792556784,0.02740705857266429,0.0406762595457168,1.0
HISTORICAL_REFIT_vs_DEV_FROZEN::MACRO_LTD_FINAL,mrr,0.019057777601294013,0.019013565366512303,0.015240019432691087,0.02264304934210986,1.0
