origin,window,model,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
ORIGIN28,MID,branch,top5_accuracy,0.0007872466049990701,0.0007913659012156508,0.0001959415615751109,0.001386828595746889,0.9885
ORIGIN28,MID,branch,mrr,-0.001368471596588594,-0.0013764857029057768,-0.0021013277558050297,-0.0005317300163212302,0.0025
ORIGIN28,MID,fusion,accuracy,-0.0011808699074985496,-0.0011400081390785417,-0.0031444605008833005,0.00029682398337793625,0.078
ORIGIN28,MID,fusion,macro_f1,-0.0014521917783424376,-0.0014282953420013767,-0.003202967627978226,-0.00035861751412106065,0.0005
ORIGIN28,MID,fusion,top5_accuracy,-0.0017713048612477689,-0.0017702497457710215,-0.003123474865788234,-0.00039443647391464723,0.003
ORIGIN28,MID,fusion,mrr,-0.0011807323658427071,-0.001167363464113538,-0.0021032991780204403,-0.0004828226625582799,0.0
ORIGIN28,FAR,branch,accuracy,-0.0004421355145352024,-0.0004677345769906227,-0.0035031966883553507,0.0028008199414134775,0.3735
ORIGIN28,FAR,branch,macro_f1,-0.00042482511863994876,-0.00037621864730341724,-0.0028475306035064484,0.002399280521030335,0.373
ORIGIN28,FAR,branch,top5_accuracy,0.0001105338786338006,0.00010650625380459544,-0.0017080853896200177,0.0018947890520368048,0.5325
ORIGIN28,FAR,branch,mrr,-6.814001854515972e-05,-8.447581490023015e-05,-0.001708786790300787,0.0016636447312421494,0.4465
ORIGIN28,FAR,fusion,accuracy,0.001658008179507009,0.0016407036252114263,-0.0007760496232160518,0.004004996924443608,0.895
ORIGIN28,FAR,fusion,macro_f1,0.0020983143274156957,0.0020428902634405804,-0.0004276187900928235,0.004292508864600255,0.951
ORIGIN28,FAR,fusion,top5_accuracy,-0.0001105338786338006,-0.00013219815729712399,-0.0016692168590902723,0.0012024048096193063,0.4265
ORIGIN28,FAR,fusion,mrr,0.0013527762286940082,0.0013327448066127073,7.281942549297315e-05,0.002500423685133278,0.9825
