origin,site_label,history_days,trajectory_norm,velocity_consistency_raw,velocity_consistency_clipped
ORIGIN28,35,28,1.2338298624839437,-0.3626427751690827,0.0
ORIGIN28,36,28,0.939990108106682,-0.7433373145733935,0.0
ORIGIN28,37,28,1.4458705095865017,-0.32845494431223127,0.0
ORIGIN28,39,28,1.5853568439285928,-0.5226193006390498,0.0
ORIGIN28,40,28,1.1752237178869234,-0.8329855165479306,0.0
ORIGIN28,41,28,1.3872318394850744,-0.6386553283895239,0.0
ORIGIN28,42,28,3.800275732962799,-0.29646774601388165,0.0
ORIGIN28,43,28,2.0672603374174563,-0.31626954985135375,0.0
ORIGIN28,45,28,1.9210043963118795,-0.13158178756323635,0.0
ORIGIN28,46,28,2.365549178550299,-0.7448549378745584,0.0
ORIGIN28,47,28,1.5773810045730008,0.09903512159465973,0.09903512159465973
ORIGIN28,48,28,4.615910302517614,0.02081102335095898,0.02081102335095898
ORIGIN28,50,28,1.1506071082231784,-0.11916164914552126,0.0
ORIGIN28,51,28,1.3980490496956326,-0.5982453296224124,0.0
ORIGIN28,52,28,1.2768483808739115,0.03564647519462079,0.03564647519462079
ORIGIN28,53,28,1.0543622199407208,-0.4046820930088644,0.0
ORIGIN28,54,28,1.9075739688746982,-0.5710610879289825,0.0
ORIGIN28,55,28,1.6287013886483122,0.12959348049429525,0.12959348049429525
ORIGIN28,57,28,7.608575882454104,0.12330127894616853,0.12330127894616853
ORIGIN28,6,28,2.595794432852376,-0.19345922546980207,0.0
ORIGIN28,60,28,3.7549161929593446,0.5111243732186296,0.5111243732186296
ORIGIN28,61,28,2.7346886425638184,0.2097062025220235,0.2097062025220235
ORIGIN28,63,26,3.0659613633504903,0.33953373245096174,0.33953373245096174
ORIGIN28,68,28,1.4124428226610954,-0.29560301352238916,0.0
ORIGIN28,7,28,0.9422560268453218,-0.4055865243453766,0.0
ORIGIN28,71,28,19.01628977224825,0.2244064338952149,0.2244064338952149
ORIGIN28,72,28,1.1623049619302341,-0.19400798006590977,0.0
ORIGIN28,76,28,3.049770641578658,0.3600030492160618,0.3600030492160618
ORIGIN28,77,28,16.600926912999487,0.5437397408114283,0.5437397408114283
ORIGIN28,78,28,4.013090565828199,0.3455803774381898,0.3455803774381898
ORIGIN28,80,28,2.781799813983164,-0.02348868087699056,0.0
ORIGIN28,81,28,2.4359428216571466,-0.15346116648988725,0.0
ORIGIN28,86,28,1.3830505325393905,-0.2649905199070967,0.0
ORIGIN28,89,28,3.828759376848556,0.526840455399951,0.526840455399951
ORIGIN28,9,28,1.4548719135468364,0.032302026416052905,0.032302026416052905
ORIGIN28,90,28,1.9083777076202018,0.10966432078336075,0.10966432078336075
ORIGIN28,92,28,1.6715016262393676,-0.5092933983344641,0.0
ORIGIN28,96,28,2.707414099026624,0.3702256589188129,0.3702256589188129
ORIGIN28,97,22,2.73014291096501,0.15076091104069872,0.15076091104069872
ORIGIN28,98,28,1.8077491985056022,0.09068183610729572,0.09068183610729572
