origin,window,model,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
ORIGIN28,MID,ltd,top5_accuracy,-0.004329856327494608,-0.004289739266913646,-0.009029867090426111,0.0003946719289590339,0.0325
ORIGIN28,MID,ltd,mrr,0.0035723270541071495,0.0035008028918748196,0.0004077897087716831,0.006398732679462098,0.984
ORIGIN28,MID,fusion,accuracy,-0.0016728990356228435,-0.0016757628064772382,-0.004723376122771653,0.0015711653243864806,0.148
ORIGIN28,MID,fusion,macro_f1,-0.0026968286388433516,-0.0027026811701204648,-0.005555915898162955,0.0003799002659807815,0.04
ORIGIN28,MID,fusion,top5_accuracy,-0.0032473922456208726,-0.0032444355580125263,-0.004542032666422971,-0.001778462822075147,0.0
ORIGIN28,MID,fusion,mrr,-0.0017042626814970374,-0.001712965861780124,-0.0035812144650748667,0.000180443431645786,0.0355
ORIGIN28,FAR,ltd,accuracy,0.019232894882281415,0.01923952005054889,0.013476151117142626,0.023862548138310177,1.0
ORIGIN28,FAR,ltd,macro_f1,0.020000313235433276,0.020055021031601946,0.013842612560691931,0.025263564443448086,1.0
ORIGIN28,FAR,ltd,top5_accuracy,-0.001658008179507009,-0.001600534107800918,-0.004502383341408461,0.001517159075126534,0.1475
ORIGIN28,FAR,ltd,mrr,0.01155360907114289,0.011573007364656971,0.008639995612924181,0.013595328066670187,1.0
ORIGIN28,FAR,fusion,accuracy,0.0039792196308168215,0.004024316523839556,0.0018069614784231413,0.006655712585601841,1.0
ORIGIN28,FAR,fusion,macro_f1,0.003807758795651428,0.003776656311077369,0.0021431340036960596,0.005401908522425435,1.0
ORIGIN28,FAR,fusion,top5_accuracy,-0.0025422792085774137,-0.0024821461787272103,-0.004878728742681915,0.0002480466327668962,0.0305
ORIGIN28,FAR,fusion,mrr,0.002029411437628803,0.0020464453334719367,0.0008925532539024728,0.0030622287379159416,0.9995
