origin,window,model,reference,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
ORIGIN28,FAR,xgb,uniform,accuracy,0.0007737371504366042,0.0006746012396815635,-0.005238119210632358,0.007475604780538907,0.548
ORIGIN28,FAR,xgb,uniform,macro_f1,0.0010993325360645345,0.0010764063241395156,-0.0049815090558497895,0.007793693684010697,0.601
ORIGIN28,FAR,xgb,uniform,top5_accuracy,-0.0001105338786338006,-9.878137712957269e-05,-0.0017220172201721784,0.0017028312173661818,0.4285
ORIGIN28,FAR,xgb,uniform,mrr,0.0006877901060848846,0.0006353876757754064,-0.002587542043561014,0.004113399041273642,0.6205
ORIGIN28,FAR,xgb,11H,accuracy,-0.006410964960760435,-0.006502696839166089,-0.013054830287206332,-0.0022863590228029457,0.0
ORIGIN28,FAR,xgb,11H,macro_f1,-0.006083504127504691,-0.00616340170337701,-0.012687031679024074,-0.0013320187075139495,0.0025
ORIGIN28,FAR,xgb,11H,top5_accuracy,-0.001105338786338006,-0.0010600469902667213,-0.0025488933083866656,0.000664251053942229,0.0995
ORIGIN28,FAR,xgb,11H,mrr,-0.0042766510134301106,-0.004315853215929559,-0.00761083878443411,-0.0021707944068124485,0.0
ORIGIN28,FAR,macro,uniform,accuracy,0.0019896098154084108,0.001862014440840325,-0.001905383879415057,0.005343309009628786,0.837
ORIGIN28,FAR,macro,uniform,macro_f1,0.002982747592147228,0.002856306268104808,-0.0006562369607715445,0.005939555209660274,0.9475
ORIGIN28,FAR,macro,uniform,top5_accuracy,0.0001105338786338006,9.700633916125052e-05,-0.0009855858075643598,0.0012788364951339644,0.5165
ORIGIN28,FAR,macro,uniform,mrr,0.0015299947515008405,0.0014473475846626628,-0.0008063211166799977,0.0036375066839368086,0.8965
ORIGIN28,FAR,macro,11H,accuracy,-0.0008842710290704048,-0.0009195813962686306,-0.0048934221750738995,0.0024171176584717176,0.3075
ORIGIN28,FAR,macro,11H,macro_f1,0.00024825072408329873,0.00027134646122895027,-0.002851931351676795,0.0031041567900183115,0.583
ORIGIN28,FAR,macro,11H,top5_accuracy,-0.0001105338786338006,-0.00010717123917766602,-0.001358054056775082,0.001558073164242552,0.37
ORIGIN28,FAR,macro,11H,mrr,-0.00034519999391369183,-0.000371623617878818,-0.0024669244766822806,0.0012965379008308437,0.356
